일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-02-26,80000,80200,76600,77100,178543,-4.579207920792079,-8098,3337,39152,-34391,0,4104.0,1.2599999904632568,59560.0,0.5
2026-02-25,78800,81500,76000,80800,249852,3.8560411311053984,27450,3838,-20970,-10318,0,6380.0,1.6100000143051147,59560.0,0.5
2026-02-24,79600,80300,77600,77800,162027,-3.233830845771144,-16977,441,9515,7021,0,9907.0,3.7100000381469727,59560.0,0.5
2026-02-23,82400,82400,78100,80400,243530,-3.132530120481928,35472,-8,6525,-41989,0,1603.0,0.41999998688697815,57611.0,0.47999998927116394
2026-02-20,85000,88000,81500,83000,472322,2.342786683107275,143458,-19045,-165102,40689,0,10017.0,1.4299999475479126,55912.0,0.4699999988079071
2026-02-19,87000,87200,80800,81100,357184,-5.477855477855478,-29036,-2572,123051,-91443,0,5551.0,1.0,52184.0,0.4399999976158142
2026-02-13,87300,89600,80100,85800,415013,-1.152073732718894,-2124,1322,39226,-38424,0,2572.0,0.4300000071525574,44971.0,0.3799999952316284
2026-02-12,90600,90900,86400,86800,327333,-5.032822757111598,-16776,-2354,119760,-100630,0,10164.0,2.059999942779541,41481.0,0.3499999940395355
2026-02-11,86800,97300,85500,91400,583931,3.5107587768969424,8978,2472,-79176,67726,0,7005.0,0.7200000286102295,41908.0,0.3499999940395355
2026-02-10,88200,91300,86000,88300,181612,-1.0089686098654709,5564,1843,-15941,8534,0,374.0,0.1299999952316284,54011.0,0.449999988079071
2026-02-09,86800,93200,83200,89200,462924,2.883506343713956,1172,2751,-97341,93418,0,4764.0,0.6700000166893005,60798.0,0.5099999904632568
2026-02-06,72600,89300,71700,86700,848719,11.439588688946015,-2197,-12518,-72045,86760,0,18784.0,1.440000057220459,62683.0,0.5299999713897705
2026-02-05,88800,89600,77800,77800,709440,-15.434782608695652,-130556,-17490,278647,-130601,0,2055.0,0.209999993443489,55418.0,0.4699999988079071
2026-02-04,94600,94900,90400,92000,262530,0.3271537622682661,22589,-6270,5211,-21530,0,6475.0,1.6699999570846558,33957.0,0.2899999916553497
2026-02-03,90700,97000,88700,91700,526954,5.040091638029782,32496,1787,-58211,23928,0,3484.0,0.4300000071525574,28018.0,0.2399999946355819
2026-02-02,84600,92700,83700,87300,534215,-0.2285714285714286,-17688,4100,-135882,149470,0,18466.0,2.319999933242798,33468.0,0.2800000011920929
