일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-02-27,495000,543000,483000,501000,784238,-0.7920792079207921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-26,491500,513000,482000,505000,357644,2.0202020202020203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-25,442500,530000,441000,495000,1270989,14.450867052023122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-24,433500,434500,425000,432500,75974,-0.5747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-23,440500,448500,430500,435000,103346,0.2304147465437788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-20,440000,443000,431500,434000,88905,-1.0262257696693273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-19,439000,445500,423000,438500,144639,0.45819014891179843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-13,443500,447500,435500,436500,123274,-4.276315789473684,-7314.0,1249.0,28757.0,-22692.0,0.0,2436.0,1.350000023841858,369641.0,1.350000023841858
2026-02-12,442000,463000,434000,456000,183909,2.356902356902357,23572.0,-456.0,-66272.0,43156.0,0.0,8815.0,3.2799999713897705,364944.0,1.3300000429153442
2026-02-11,436000,452500,423000,445500,175578,3.3642691415313224,12991.0,478.0,-12606.0,-863.0,0.0,7066.0,2.5199999809265137,429718.0,1.5700000524520874
2026-02-10,454000,465000,429000,431000,317109,3.357314148681055,-4313.0,1218.0,32523.0,-29428.0,0.0,9140.0,1.809999942779541,428876.0,1.559999942779541
2026-02-09,407500,432500,402000,417000,157244,6.513409961685824,-63.0,161.0,-17499.0,17401.0,0.0,4334.0,1.690000057220459,407481.0,1.4900000095367432
2026-02-06,396000,403500,382000,391500,162390,-5.889423076923077,-19610.0,-1638.0,-8639.0,29887.0,0.0,3466.0,1.4299999475479126,413396.0,1.5099999904632568
2026-02-05,437500,445500,414000,416000,173631,-6.935123042505594,-20313.0,-228.0,31109.0,-10568.0,0.0,14364.0,5.760000228881836,438683.0,1.600000023841858
2026-02-04,449000,460000,438000,447000,126878,1.1312217194570136,7774.0,134.0,1028.0,-8936.0,0.0,7933.0,4.0,430311.0,1.5700000524520874
2026-02-03,438500,446000,420000,442000,167544,2.7906976744186047,11675.0,392.0,13318.0,-25385.0,0.0,25165.0,10.4399995803833,416218.0,1.5199999809265137
2026-02-02,450000,474000,426500,430000,205190,-6.825568797399784,-14789.0,-77.0,19843.0,-4977.0,0.0,26671.0,8.390000343322754,392618.0,1.4299999475479126
2026-01-30,472000,480000,460500,461500,204539,-4.648760330578512,-511.0,506.0,6143.0,-6138.0,0.0,11863.0,3.7100000381469727,385139.0,1.399999976158142
2026-01-29,450500,495500,441000,484000,788207,9.750566893424036,19667.0,-234.0,-31739.0,12306.0,0.0,5410.0,0.4099999964237213,369842.0,1.350000023841858
2026-01-28,453000,453000,435500,441000,161942,-0.4514672686230248,-15276.0,1340.0,14033.0,-97.0,0.0,20713.0,8.130000114440918,389309.0,1.4199999570846558
2026-01-27,420000,447500,415500,443000,273067,2.1914648212226067,-7582.0,-1583.0,16293.0,-7128.0,0.0,18396.0,4.489999771118164,382038.0,1.3899999856948853
2026-01-26,439500,452500,430000,433500,230209,-3.128491620111732,-22476.0,-1888.0,36690.0,-12326.0,0.0,50387.0,14.9399995803833,384463.0,1.399999976158142
2026-01-23,465500,477000,445500,447500,217148,-3.866809881847476,-7993.0,-1565.0,19226.0,-9668.0,0.0,25143.0,7.670000076293945,357512.0,1.2999999523162842
2026-01-22,517000,528000,465500,465500,501292,-4.020618556701031,-19325.0,-4038.0,32501.0,-9138.0,0.0,25977.0,3.3299999237060547,345323.0,1.2599999904632568
2026-01-21,447500,495000,446000,485000,700873,3.965702036441586,28084.0,1275.0,-37440.0,8081.0,0.0,30790.0,2.650000095367432,322336.0,1.1799999475479126
2026-01-20,488000,488500,451000,466500,405585,-4.503582395087001,-40060.0,-568.0,10683.0,29945.0,0.0,31310.0,5.190000057220459,329801.0,1.2000000476837158
2026-01-19,479000,508000,474500,488500,563006,2.5183630640083945,-14585.0,-805.0,-32047.0,47437.0,0.0,22400.0,2.539999961853028,329470.0,1.2000000476837158
2026-01-16,507000,509000,465000,476500,350661,-3.1504065040650406,-8812.0,-3116.0,21047.0,-9119.0,0.0,14976.0,2.75,369675.0,1.350000023841858
2026-01-15,484000,492000,468500,492000,308814,-0.1015228426395939,1717.0,377.0,12781.0,-14875.0,0.0,21917.0,4.71999979019165,358666.0,1.309999942779541
2026-01-14,490500,498500,475500,492500,270794,-1.6966067864271457,-12256.0,-829.0,21776.0,-8691.0,0.0,20042.0,4.769999980926514,345272.0,1.2599999904632568
2026-01-13,483500,534000,483500,501000,1113037,8.91304347826087,-22962.0,4270.0,-11122.0,29814.0,0.0,17220.0,0.9399999976158142,326742.0,1.190000057220459
2026-01-12,475500,481500,448000,460000,471774,-2.4390243902439024,-13967.0,-2399.0,26395.0,-10029.0,0.0,21132.0,2.890000104904175,343547.0,1.25
2026-01-09,422000,475500,399000,471500,1496947,19.367088607594937,16082.0,943.0,19375.0,-36400.0,0.0,46219.0,1.830000042915344,320730.0,1.1699999570846558
2026-01-08,416500,417000,390500,395000,587132,0.126742712294043,-4610.0,-1478.0,38133.0,-32045.0,0.0,22252.0,2.450000047683716,288173.0,1.0499999523162842
2026-01-07,319500,405000,317500,394500,2617269,26.442307692307693,66824.0,-9092.0,-172257.0,114525.0,0.0,27285.0,0.6299999952316284,270708.0,0.9900000095367432
2026-01-06,327500,363000,310000,312000,1365091,0.0,-16965.0,761.0,86166.0,-69962.0,0.0,37757.0,1.659999966621399,354562.0,1.2899999618530271
2026-01-05,325000,326500,306500,312000,392664,-5.88235294117647,-30691.0,-620.0,86760.0,-55449.0,0.0,34051.0,6.019999980926514,285724.0,1.0399999618530271
2026-01-02,326500,344000,319000,331500,454465,-0.1506024096385542,10376.0,2577.0,27780.0,-40733.0,0.0,13981.0,2.0199999809265137,223743.0,0.8199999928474426
2025-12-30,317500,337000,302000,332000,640032,6.41025641025641,15206.0,8137.0,40357.0,-63700.0,0.0,28747.0,2.7300000190734863,195917.0,0.7099999785423279
2025-12-29,288000,319000,285000,312000,578225,7.586206896551724,20741.0,-1508.0,-45716.0,26483.0,0.0,9141.0,1.0199999809265137,164449.0,0.6000000238418579
2025-12-26,299500,300000,284000,290000,225841,0.8695652173913043,-15587.0,-497.0,47157.0,-31073.0,0.0,13524.0,3.880000114440918,180760.0,0.6600000262260437
2025-12-24,296500,304000,285000,287500,296982,-2.3769100169779285,-1195.0,1531.0,10674.0,-11010.0,0.0,11861.0,2.650000095367432,171406.0,0.6299999952316284
2025-12-23,308500,314000,293000,294500,274214,-4.071661237785016,-4074.0,-7232.0,22154.0,-10848.0,0.0,10434.0,2.2699999809265137,168337.0,0.6100000143051147
2025-12-22,298000,321500,290000,307000,667938,0.6557377049180327,3655.0,-123.0,64437.0,-67969.0,0.0,32464.0,3.0899999141693115,157830.0,0.5799999833106995
2025-12-19,264000,319000,257000,305000,1221039,18.446601941747574,58584.0,1662.0,-38734.0,-21512.0,0.0,21975.0,1.149999976158142,126062.0,0.4600000083446502
2025-12-18,262500,268500,256000,257500,249345,-5.504587155963304,-46679.0,-1757.0,6078.0,42358.0,0.0,12595.0,3.660000085830689,119361.0,0.4399999976158142
2025-12-17,290000,294500,266500,272500,365064,-3.368794326241135,-16663.0,1620.0,-20683.0,35726.0,0.0,28976.0,5.210000038146973,129420.0,0.4699999988079071
2025-12-16,303500,309000,277500,282000,384512,-3.589743589743589,-4435.0,-801.0,22171.0,-16935.0,0.0,21116.0,3.4200000762939453,130135.0,0.4699999988079071
2025-12-15,282500,296500,281000,292500,201889,-0.5102040816326531,-5916.0,290.0,-36460.0,42086.0,0.0,16948.0,5.420000076293945,127243.0,0.4600000083446502
2025-12-12,301500,303500,291000,294000,244361,-1.6722408026755853,-21408.0,620.0,54178.0,-33390.0,0.0,31241.0,7.269999980926514,137389.0,0.5
2025-12-11,296000,306000,290500,299000,497765,1.528013582342954,136680.0,-660.0,-32318.0,-103702.0,0.0,44235.0,5.380000114440918,108622.0,0.4000000059604645
2025-12-10,299000,303500,292000,294500,229149,-2.321724709784411,-19132.0,551.0,39094.0,-20513.0,0.0,25945.0,5.78000020980835,94722.0,0.3499999940395355
2025-12-09,292000,303500,283500,301500,321776,-0.1655629139072847,-11574.0,136.0,14807.0,-3369.0,0.0,20739.0,3.4100000858306885,78442.0,0.2899999916553497
2025-12-08,298000,307000,282000,302000,586809,6.525573192239858,13037.0,1459.0,62105.0,-76601.0,0.0,28075.0,2.490000009536743,69630.0,0.25
2025-12-05,286000,293000,276500,283500,554055,0.1766784452296819,26598.0,2940.0,3155.0,-32693.0,0.0,23147.0,2.2100000381469727,50299.0,0.1800000071525573
2025-12-04,248500,289000,245000,283000,1443665,27.19101123595505,100343.0,-7007.0,-119319.0,25983.0,0.0,35031.0,1.2200000286102295,43646.0,0.1599999964237213
2025-12-03,227500,228500,221500,222500,201906,-4.710920770877944,11083.0,1913.0,24215.0,-37211.0,0.0,24832.0,6.710000038146973,39574.0,0.1400000005960464
2025-12-02,208000,234500,205500,233500,760336,18.64837398373984,36117.0,-1004.0,-28339.0,-6774.0,0.0,18100.0,1.25,20475.0,0.0700000002980232
2025-12-01,202500,203000,196300,196800,119177,-2.5742574257425743,25600.0,-384.0,-19651.0,-5565.0,0.0,5543.0,2.9200000762939453,24555.0,0.0900000035762786
