일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-12-22,282000,288000,273500,280500,548756,0.0,21792,-564,34131,-55359,0,14137.0,2.559999942779541,1890.0,0.009999999776482582
2025-12-19,272000,284500,263500,280500,717609,5.056179775280898,57960,12428,-52224,-18164,0,20270.0,2.819999933242798,1890.0,0.009999999776482582
2025-12-18,268000,285000,263500,267000,652169,-3.4358047016274864,-28149,4736,68665,-45252,0,10365.0,1.590000033378601,1890.0,0.009999999776482582
2025-12-17,295500,300500,273500,276500,659270,-5.145797598627787,-45110,-2748,-9516,57374,0,12787.0,1.940000057220459,1890.0,0.009999999776482582
2025-12-16,313000,313000,289500,291500,764487,-6.869009584664537,-2073,995,166010,-164932,0,12853.0,1.6799999475479126,0.0,0.0
2025-12-15,294500,323500,288500,313000,1165274,3.4710743801652892,43109,-6387,-119357,82635,0,7331.0,0.6299999952316284,0.0,0.0
2025-12-12,303500,310000,294500,302500,834879,0.33167495854063017,-37675,4262,81587,-48174,0,10319.0,1.2400000095367432,0.0,0.0
2025-12-11,286500,315500,284000,301500,2023943,6.161971830985916,209719,-5611,-128477,-75631,0,87993.0,4.349999904632568,12500.0,0.0900000035762786
2025-12-10,282000,287000,277000,284000,462831,0.1763668430335097,3349,-1552,-29440,27643,0,642.0,0.1400000005960464,55154.0,0.3799999952316284
2025-12-09,286000,291500,277000,283500,629135,-1.391304347826087,-17485,-3121,49446,-28840,0,3125.0,0.5,73100.0,0.5
2025-12-08,289500,295000,278000,287500,915707,1.5901060070671376,-2656,3887,121736,-122967,0,3279.0,0.3600000143051147,70700.0,0.4900000095367431
2025-12-05,292000,320500,270500,283000,2411463,-1.7361111111111112,-37314,-7174,-60616,105104,0,2539.0,0.1099999994039535,76180.0,0.5199999809265137
2025-12-04,269500,301000,262500,288000,3059116,12.720156555772991,123601,2690,-476123,349832,0,2541.0,0.0799999982118606,68557.0,0.4699999988079071
2025-12-03,247000,258500,240500,255500,859265,2.2,21925,-3359,-71106,52540,0,6403.0,0.75,79318.0,0.5400000214576721
2025-12-02,236500,254500,225000,250000,1786581,8.225108225108226,20145,-8195,-27982,16032,0,8736.0,0.4900000095367431,74218.0,0.5099999904632568
2025-12-01,238500,252000,230500,231000,1212700,-1.070663811563169,41827,6605,-17833,-30599,0,11616.0,0.959999978542328,71247.0,0.4900000095367431
2025-11-28,216000,244500,212500,233500,1553205,9.88235294117647,109793,-5403,-241311,136921,0,10570.0,0.6800000071525574,91639.0,0.6899999976158142
2025-11-27,201500,216500,197000,212500,819351,5.198019801980198,49763,4299,-124554,70492,0,39297.0,4.800000190734863,102630.0,0.7799999713897705
2025-11-26,195100,204500,193800,202000,387809,3.589743589743589,-20240,2845,-46284,63679,0,16406.0,4.230000019073486,245465.0,1.8600000143051147
2025-11-25,210000,210500,195000,195000,464935,-5.569007263922518,-27400,3956,114239,-90795,0,18923.0,4.070000171661377,248496.0,1.8799999952316284
2025-11-24,194800,209000,188700,206500,896001,7.664233576642336,-19599,914,-84842,103527,0,14566.0,1.6299999952316284,225501.0,1.7100000381469729
2025-11-21,189400,198700,188600,191800,477026,-4.813895781637717,-19534,-4467,-38735,62736,0,11340.0,2.380000114440918,211821.0,1.600000023841858
2025-11-20,213500,218000,198800,201500,536141,-3.125,-34073,-4193,77161,-38895,0,8564.0,1.600000023841858,234260.0,1.7699999809265137
2025-11-19,213500,218000,193300,208000,763400,1.96078431372549,53459,-2586,-44911,-5962,0,12629.0,1.649999976158142,212125.0,1.600000023841858
2025-11-18,203500,210500,198700,204000,566891,-1.2106537530266344,-13437,1716,-27662,39383,0,15334.0,2.700000047683716,209216.0,1.5800000429153442
2025-11-17,225500,227000,201000,206500,667747,-5.707762557077626,-23691,7472,42226,-26007,0,20718.0,3.0999999046325684,211905.0,1.600000023841858
2025-11-14,220500,226500,219000,219000,329573,-5.603448275862069,-2147,830,47268,-45951,0,4292.0,1.2999999523162842,188763.0,1.4299999475479126
2025-11-13,224000,236000,217500,232000,592312,3.571428571428571,3961,-2810,-51237,50086,0,14374.0,2.430000066757202,188355.0,1.4199999570846558
2025-11-12,234500,242000,219500,224000,648977,-3.4482758620689653,-67062,1556,125926,-60420,0,9537.0,1.4700000286102295,192915.0,1.4600000381469729
2025-11-11,228500,244000,225500,232000,1114753,4.035874439461884,19945,-1669,-42633,24357,0,10673.0,0.959999978542328,207408.0,1.5700000524520874
2025-11-10,220000,228500,207000,223000,726118,0.904977375565611,8521,2946,-30848,19381,0,1083.0,0.1500000059604644,236375.0,1.7899999618530271
2025-11-07,204500,236000,204000,221000,1524310,2.314814814814815,5896,3932,29724,-39552,0,6328.0,0.4199999868869781,238136.0,1.7999999523162842
2025-11-06,250500,255500,213000,216000,1361145,-10.927835051546392,-25268,-1777,67958,-40913,0,19760.0,1.4500000476837158,230441.0,1.7400000095367432
2025-11-05,258000,265000,239500,242500,1508378,-9.851301115241636,-55048,10175,251923,-207050,0,84790.0,5.619999885559082,176755.0,1.340000033378601
2025-11-04,269000,294500,260000,269000,2036680,-2.0036429872495445,8813,2939,100126,-111878,0,6575.0,0.3199999928474426,100204.0,0.7599999904632568
2025-11-03,222500,282000,220500,274500,2690324,24.489795918367346,24277,7149,-365673,334247,0,5033.0,0.1899999976158142,106777.0,0.8100000023841858
2025-10-31,235000,235000,214000,220500,1469353,-0.8988764044943821,33990,2668,247070,-283728,0,4613.0,0.3100000023841858,128120.0,0.9700000286102296
2025-10-30,207500,229500,197500,222500,2885870,7.74818401937046,51651,-2121,-145756,96226,0,4463.0,0.1500000059604644,127574.0,0.959999978542328
2025-10-29,193000,212000,192300,206500,2400878,7.889237199582028,35914,-6121,-357002,327209,0,568.0,0.0199999995529651,124582.0,0.9399999976158142
2025-10-28,193600,196800,190000,191400,832404,-0.1564945226917058,7955,-1008,-4709,-2238,0,1958.0,0.2399999946355819,133616.0,1.0099999904632568
2025-10-27,194100,194700,188700,191700,583498,-0.6220839813374806,-11733,-1079,43471,-30659,0,1118.0,0.1899999976158142,142828.0,1.0800000429153442
2025-10-24,188200,199900,188000,192900,1790296,3.155080213903743,23339,1626,-90558,65593,0,2150.0,0.1199999973177909,131996.0,1.0
2025-10-23,182800,202500,178500,187000,1790353,0.2680965147453083,-30192,-5644,50857,-15021,0,17756.0,0.9900000095367432,151543.0,1.149999976158142
2025-10-22,186900,191700,179600,186500,677795,-0.1071237279057311,-10652,1983,-9577,18246,0,16441.0,2.430000066757202,138506.0,1.0499999523162842
2025-10-21,199000,199400,185500,186700,1065213,-5.707070707070707,-62723,-3792,192765,-126250,0,1872.0,0.1800000071525573,137502.0,1.0399999618530271
2025-10-20,194000,201500,194000,198000,961701,3.017689906347554,13007,2830,-77202,61365,0,741.0,0.0799999982118606,122402.0,0.9300000071525574
2025-10-17,195600,202500,190900,192200,949250,-2.138492871690428,-2334,-7580,24908,-14994,0,501.0,0.050000000745058,136740.0,1.0299999713897705
2025-10-16,205000,205500,194000,196400,1063102,-3.0123456790123457,-13779,-2272,257534,-241483,0,4916.0,0.4600000083446502,133094.0,1.0099999904632568
2025-10-15,189700,210000,189600,202500,2337088,9.282245008094982,67420,2616,-251560,181524,0,1100.0,0.050000000745058,130687.0,0.9900000095367432
2025-10-14,193800,218500,178900,185300,3469022,-3.5398230088495577,-40498,-12441,256862,-203923,0,14022.0,0.4000000059604645,131737.0,1.0
2025-10-13,185400,198700,184000,192100,1660021,0.4181913225300575,14935,-354,204411,-218992,0,39166.0,2.359999895095825,122364.0,0.9300000071525574
2025-10-10,156600,197300,153700,191300,4524542,22.002551020408163,23212,22520,-505264,459532,0,3079.0,0.0700000002980232,89389.0,0.6800000071525574
2025-10-02,164000,164000,153700,156800,1163740,-4.390243902439024,-15646,-506,234057,-217905,0,1526.0,0.1299999952316284,105316.0,0.800000011920929
2025-10-01,160700,169200,159500,164000,1789519,2.0535158680771626,10959,1880,76330,-89169,0,3778.0,0.209999993443489,98324.0,0.7400000095367432
2025-09-30,158900,166800,148500,160700,2656844,2.946828955797565,108,186,-64205,63911,0,10011.0,0.3799999952316284,90515.0,0.6800000071525574
2025-09-29,148900,159400,148000,156100,1841821,7.580978635423846,-560,3128,-112574,110006,0,5883.0,0.3199999928474426,77198.0,0.5799999833106995
2025-09-26,143152,155227,140717,145100,3765112,2.124844278967631,33430,6480,-25237,-14673,0,11517.0,0.3100000023841858,78847.0,0.6000000238418579
2025-09-25,148411,151819,141302,142081,1826254,-4.075804426200732,-9316,-64344,304147,-230487,0,18701.0,1.0499999523162842,93255.0,0.7099999785423279
2025-09-24,157272,167011,145002,148118,2912159,-5.879138336404652,-85754,14315,492218,-420779,0,12618.0,0.4399999976158142,84167.0,0.6399999856948853
2025-09-23,140328,165258,138575,157370,3492046,12.53495040796333,-55101,-11441,-264914,331456,0,7872.0,0.2300000041723251,79947.0,0.6000000238418579
2025-09-22,134582,149774,131563,139841,4402859,5.43295510234855,-10876,-5001,129706,-113829,0,2586.0,0.0599999986588954,97010.0,0.7300000190734863
2025-09-19,109165,141204,105952,132635,7378474,21.49956487885311,301,-19334,-226357,245390,0,8262.0,0.1099999994039535,112668.0,0.8500000238418579
2025-09-18,100596,115300,100304,109165,5169423,12.099772031792323,98325,-6809,-426226,334710,0,3217.0,0.0599999986588954,87855.0,0.6600000262260437
2025-09-17,98843,101180,96993,97382,576560,-1.768295758309376,-19694,-4356,87418,-63368,0,337.0,0.0599999986588954,82719.0,0.6299999952316284
2025-09-16,101959,102738,98064,99135,607962,-1.6420279789661671,-6371,-974,23866,-16521,0,391.0,0.0700000002980232,54704.0,0.4099999964237213
2025-09-15,100790,107607,98258,100790,1851046,3.499620052987205,14750,-219,-42322,27791,0,1886.0,0.1000000014901161,53031.0,0.4000000059604645
2025-09-12,97966,99330,96019,97382,854492,0.5026059136178337,-32528,-12254,63116,-18334,0,176.0,0.0199999995529651,79830.0,0.6000000238418579
