일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-02-25,42800,46950,35050,43050,5671171,0.5841121495327103,30175.0,6683.0,-27566.0,-9292.0,0.0,824.0,0.009999999776482582,0.0,0.0
2026-02-24,45600,46325,42750,42800,1658028,-6.140350877192982,-114089.0,-7465.0,142946.0,-21392.0,0.0,1697.0,0.10000000149011612,0.0,0.0
2026-02-23,45050,46500,43550,45600,1501793,-0.10952902519167579,-82738.0,19113.0,84709.0,-21084.0,0.0,1432.0,0.10000000149011612,0.0,0.0
2026-02-20,50000,54000,45050,45650,4518182,3.5147392290249435,-437862.0,-205194.0,450196.0,192860.0,0.0,1380.0,0.029999999329447746,0.0,0.0
2026-02-19,44600,46300,41550,44100,2340083,-1.1210762331838564,-106570.0,1655.0,379722.0,-274807.0,0.0,405.0,0.019999999552965164,0.0,0.0
2026-02-13,37800,48700,35400,44600,6253426,15.844155844155845,-62853.0,-111566.0,-60254.0,234673.0,0.0,1213.0,0.0199999995529651,0.0,0.0
2026-02-12,38750,41450,38300,38500,2350647,1.58311345646438,130052.0,-43080.0,-75612.0,-11360.0,0.0,71156.0,1.950000047683716,22887.0,0.050000000745058
2026-02-11,37250,38700,37000,37900,1221727,0.0,6045.0,-1767.0,-22139.0,17861.0,0.0,1192.0,0.0700000002980232,0.0,0.0
2026-02-10,38300,39500,36750,37900,1740107,2.0188425302826376,-100474.0,9609.0,215234.0,-124369.0,0.0,4991.0,0.2000000029802322,0.0,0.0
2026-02-09,37900,40250,36300,37150,3219167,-0.535475234270415,68566.0,13693.0,145916.0,-228175.0,0.0,4725.0,0.1000000014901161,308136.0,0.6600000262260437
2026-02-06,26700,37350,26500,37350,6034625,29.91304347826087,149146.0,-37378.0,-687848.0,576080.0,0.0,53656.0,0.5600000023841858,308136.0,0.6600000262260437
2026-02-05,28550,29550,27000,28750,1490093,0.7005253940455342,-32667.0,14051.0,47532.0,-28916.0,0.0,19284.0,0.949999988079071,308136.0,0.6600000262260437
2026-02-04,28900,29900,28150,28550,1653898,0.0,77302.0,-8216.0,209757.0,-278843.0,0.0,492.0,0.0299999993294477,308136.0,0.6600000262260437
2026-02-03,28500,29300,27200,28550,2295531,4.963235294117647,-13029.0,1248.0,348787.0,-337006.0,0.0,41600.0,1.809999942779541,308136.0,0.6600000262260437
2026-02-02,27150,29500,25050,27200,3050496,0.0,-49709.0,-66174.0,413129.0,-297246.0,0.0,5657.0,0.1899999976158142,308136.0,0.6600000262260437
2026-01-30,25800,28900,24650,27200,3662184,5.426356589147287,98479.0,-74789.0,181458.0,-205148.0,0.0,5137.0,0.1400000005960464,308136.0,0.6600000262260437
2026-01-29,22400,27150,21950,25800,5402422,14.92204899777283,175990.0,13637.0,-370220.0,180593.0,0.0,943.0,0.0199999995529651,308136.0,0.6600000262260437
2026-01-28,23850,24500,21700,22450,2636799,-2.813852813852814,-426651.0,-164160.0,533861.0,56950.0,0.0,319114.0,12.100000381469728,330218.0,0.699999988079071
2026-01-27,21800,24150,21400,23100,2776920,2.4390243902439024,-131573.0,-148814.0,280427.0,-40.0,0.0,1171.0,0.0399999991059303,19479.0,0.0399999991059303
2026-01-26,21550,22850,19970,22550,3713094,4.640371229698376,19265.0,-82481.0,27764.0,35452.0,0.0,5221.0,0.1400000005960464,106930.0,0.2300000041723251
2026-01-23,19910,24000,19500,21550,7900187,11.948051948051948,22999.0,-261341.0,-762659.0,1001001.0,0.0,2615.0,0.0299999993294477,205307.0,0.4399999976158142
2026-01-22,19110,20000,18340,19250,2439510,1.4760147601476017,94798.0,-59981.0,-102157.0,67340.0,0.0,11004.0,0.449999988079071,199500.0,0.4300000071525574
